surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheal_pulse,mucous_membrane,capillary_refill_time,pain,peristaltsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
no,adult,494966,38.2626263353811,48.98557608608978,12.49509631451837,cold,increased,normal_pink,less_3_sec,alert,hypermobile,none,none,>1_liter,9.061936609656644,normal,normal,34.930326488194304,6.663856209992564,serosanguious,3.2087420399976674,lived,no,2208,2,0,no
no,adult,692245,39.91785594962589,39.47560722509945,5.263218265156335,normal,increased,pale_pink,more_3_sec,mild_pain,hypermobile,none,important,>1_liter,8.475785676923476,normal,distend_large,41.272331711966004,7.036211436459102,clear,3.1101151679401142,euthanized,no,2208,0,0,yes
no,young,205423,36.62739674313868,52.67536921363477,3.0899986337433774,cold,reduced,bright_red,more_3_sec,constant_pain,normal,none,none,>1_liter,9.742879392651329,normal,other,46.23367799324893,6.8624559410950825,serosanguious,5.457710514088413,euthanized,no,2208,2,1,yes
no,adult,420197,36.566531898719894,68.87760460434872,11.126156020553795,normal,absent,dark_cyanotic,more_3_sec,intermittent_pain,hypomobile,severe,none,less_1_liter,5.823125287565997,decreased,normal,44.93051364321893,6.265140343651574,clear,2.013491774202222,euthanized,yes,4300,0,0,no
yes,adult,564071,38.49499790077687,60.22283126097515,6.719431653113741,warm,reduced,bright_pink,more_3_sec,depressed,absent,none,important,less_1_liter,7.819178350767612,normal,other,41.19917805125633,6.888096461632375,serosanguious,2.8050126436196305,died,yes,11300,2,2,no
no,young,771256,39.74654283751476,74.19282581011615,9.861400062368958,cool,increased,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,none,4.965685256302272,absent,other,42.62779363228957,6.8101750640442305,clear,4.361786753047904,died,no,0,3,0,yes
yes,young,286833,37.53950143806127,85.31259071171263,13.605446160022646,cold,increased,normal_pink,more_3_sec,constant_pain,hypermobile,severe,important,none,3.4749459041575506,absent,distend_large,34.84197914652688,6.740858990864034,clear,2.6498021113786594,died,yes,0,0,0,no
yes,adult,817912,39.52683384221876,52.62408126644329,7.02913447080477,cold,reduced,pale_pink,more_3_sec,alert,hypomobile,slight,important,less_1_liter,5.544607463467591,normal,distend_large,38.65148530006701,6.770134400472712,cloudy,5.943215690894353,died,no,4300,0,0,yes
yes,young,875435,37.89643371879349,50.428655159677724,7.867336030773121,cold,reduced,bright_red,more_3_sec,constant_pain,absent,none,none,less_1_liter,3.325992123107639,absent,other,35.107312530406,6.245981957938306,serosanguious,3.856782489686524,died,yes,0,1,2,yes
no,adult,177454,37.11911271796092,79.1545530732402,9.830168917764949,warm,absent,bright_red,less_3_sec,intermittent_pain,hypomobile,none,none,less_1_liter,9.856356982291071,absent,distend_large,47.68835949689276,6.695216596846002,clear,4.3894562998422035,euthanized,yes,0,0,2,no
yes,adult,357594,36.80930761136229,80.74094577479859,5.107471080053308,normal,reduced,dark_cyanotic,more_3_sec,mild_pain,normal,slight,none,less_1_liter,2.769971929125731,absent,other,32.251090147310315,6.908479907732395,serosanguious,2.6414938604207725,lived,no,0,0,2,no
no,adult,611897,38.42941358488679,74.81181736206094,6.726431411982372,warm,absent,dark_cyanotic,more_3_sec,alert,hypermobile,severe,slight,>1_liter,6.713693787620963,absent,other,43.59481115712742,6.734173798028309,clear,3.1575124034877113,euthanized,no,11300,2,0,no
yes,young,452744,36.8850409322173,40.95642386521301,9.074572511253807,cool,increased,normal_pink,less_3_sec,intermittent_pain,hypermobile,severe,important,>1_liter,7.011710842032447,absent,normal,35.20566394330047,6.733029292689221,cloudy,4.458499130717662,euthanized,no,0,3,1,yes
yes,young,616142,37.88127684276702,68.45310131003208,8.098635393546745,warm,normal,pale_cyanotic,more_3_sec,depressed,hypomobile,slight,important,>1_liter,6.304636342992434,decreased,other,39.511548194369325,6.116276564689478,cloudy,4.198213493145591,died,yes,11300,1,2,yes
yes,young,137641,39.38346502538409,62.18941208094578,10.825223261397678,cool,normal,bright_pink,less_3_sec,mild_pain,absent,none,slight,less_1_liter,7.2974870856946685,normal,other,35.988255604932654,6.28616122802508,cloudy,5.137455781764665,lived,no,0,2,0,yes
yes,young,653999,37.49321960712863,81.05057882699327,17.2979388433178,cold,normal,pale_cyanotic,more_3_sec,intermittent_pain,hypomobile,moderate,important,>1_liter,2.9294462000951276,absent,distend_large,36.46490634118943,6.481459039163251,cloudy,3.0769327142972647,lived,yes,0,0,2,yes
yes,young,956774,39.11400947464389,48.54255820924503,9.297415018254373,cool,normal,pale_cyanotic,less_3_sec,intermittent_pain,normal,slight,important,>1_liter,6.440148193642329,normal,normal,35.20786027222044,6.62902049088886,clear,4.6141685868261355,euthanized,yes,11300,2,1,no
yes,adult,469040,36.58545651027359,26.66779417700168,6.474864161885972,cool,increased,pale_cyanotic,more_3_sec,alert,absent,slight,none,none,4.297700569018892,absent,distend_large,45.055858423908774,6.890906165787906,serosanguious,3.1639020229954617,lived,no,4300,3,0,yes
yes,adult,767542,37.266090898683196,73.80473600760544,13.254721064272694,normal,normal,normal_pink,more_3_sec,depressed,absent,slight,slight,none,9.521408506408452,decreased,normal,37.31431714358094,7.295017656784591,cloudy,4.3470104789844815,euthanized,yes,0,1,2,no
yes,adult,712121,36.39285597378508,20.0,4.233544574039336,cool,reduced,normal_pink,more_3_sec,intermittent_pain,hypomobile,none,none,>1_liter,8.096573227517805,decreased,distend_large,44.527140354281656,6.238747107132981,cloudy,4.420123870740834,euthanized,yes,2208,2,2,yes
no,adult,418420,37.872996755973354,45.3697319220734,4.833275486912678,cool,reduced,bright_pink,less_3_sec,mild_pain,normal,severe,slight,>1_liter,9.780115857277941,absent,other,39.121398602080255,6.022632045316042,cloudy,2.487356445417955,euthanized,no,2208,0,1,yes
no,young,381685,38.58007817971658,39.53608977363411,7.214689684056829,warm,normal,pale_cyanotic,more_3_sec,intermittent_pain,absent,none,none,>1_liter,2.3004485579215164,absent,normal,40.94492084200574,6.673855696163874,serosanguious,4.194532442745064,euthanized,yes,4300,2,2,no
yes,adult,980889,37.875187087606186,39.401306581885066,8.151339838441123,cold,reduced,normal_pink,less_3_sec,constant_pain,hypermobile,slight,important,less_1_liter,4.2810654014456695,absent,normal,40.86574951426975,6.648154346117442,clear,2.04775319981673,died,yes,2208,0,0,yes
yes,young,575526,39.02705005997015,45.019370580898084,7.142781790448375,warm,absent,bright_pink,less_3_sec,mild_pain,normal,none,slight,none,3.563380693106792,decreased,normal,49.51704158687178,6.827851827742759,clear,4.004843005498766,lived,no,11300,1,0,no
yes,adult,144813,37.050820759370865,84.3474713950326,8.905463026730931,warm,increased,bright_red,less_3_sec,mild_pain,absent,none,slight,none,2.089236698494644,decreased,normal,37.341249114219025,7.249832657057251,clear,4.7900875544323,died,no,0,1,1,yes
no,young,792558,38.02534275368907,76.41110838012746,9.824225708239036,cold,normal,bright_pink,less_3_sec,intermittent_pain,hypomobile,slight,none,none,3.9386058419705714,normal,distend_large,34.15368190795195,7.203540826473716,clear,2.291330915959955,died,no,0,2,1,no
yes,young,764180,37.27253067638614,54.9653863601499,12.206878605825414,cold,normal,pale_cyanotic,more_3_sec,alert,absent,none,slight,>1_liter,7.430207868163431,decreased,distend_large,48.235838807332044,6.150064926645017,serosanguious,5.754843265668109,died,yes,0,1,1,yes
no,adult,386214,38.16167658542365,82.67246943718098,9.273564821531346,cool,increased,pale_pink,more_3_sec,mild_pain,hypermobile,moderate,important,less_1_liter,3.8487113770765484,absent,normal,33.49678578631146,7.4009930500150105,serosanguious,3.835022127957817,euthanized,yes,0,3,0,yes
no,adult,442703,38.30373604621242,38.75405689667252,7.314161256914696,cool,reduced,pale_cyanotic,more_3_sec,constant_pain,normal,none,important,none,6.072027563860946,normal,normal,46.68845691688689,6.165621592011667,serosanguious,5.753665102496248,euthanized,yes,2208,2,1,no
no,adult,304615,38.38239595998406,36.034332285056834,12.043936159318235,normal,increased,pale_pink,less_3_sec,alert,absent,none,important,none,9.102544919719989,decreased,normal,33.00429790933852,6.951855762801355,cloudy,2.42959369476453,died,no,2208,0,2,no
no,adult,576657,36.729405661764396,77.27193318493181,6.546853572809608,warm,increased,bright_pink,more_3_sec,alert,hypermobile,severe,none,less_1_liter,7.550063362792602,decreased,distend_large,43.17448668454813,7.008609440393363,serosanguious,5.799610377678139,died,yes,2208,2,2,no
no,young,666074,36.910253898213426,71.59286458645295,4.1021917629380305,cold,reduced,bright_red,less_3_sec,alert,absent,severe,slight,>1_liter,5.157032559248256,absent,normal,33.01081626529072,7.019816230834632,clear,2.436788397701387,lived,yes,11300,0,0,yes
yes,adult,850294,37.09571229180881,50.79473196833354,12.617868053713625,cool,increased,bright_red,less_3_sec,mild_pain,absent,slight,none,>1_liter,4.979751511296866,normal,normal,48.46171638478859,6.398026757513087,serosanguious,3.845983193805344,died,yes,2208,1,2,yes
yes,adult,855164,37.5611192521334,37.290782126037385,12.425559734432914,cold,reduced,normal_pink,less_3_sec,alert,normal,slight,important,none,5.645886512067878,decreased,normal,41.300165653056624,6.495517637647488,cloudy,5.751968266907463,euthanized,no,2208,0,1,yes
yes,young,499953,37.887186404206425,89.1946375007588,6.623104823387681,cool,reduced,bright_red,more_3_sec,intermittent_pain,hypomobile,severe,slight,none,3.416331528479251,decreased,distend_large,36.58547678280175,6.823015312724095,clear,2.930832801555486,died,no,0,0,2,yes
yes,adult,922494,38.50808912185667,25.597948981043636,7.802703438537224,normal,increased,dark_cyanotic,more_3_sec,alert,hypomobile,moderate,important,less_1_liter,7.072006139327905,absent,other,32.8064554992719,6.2993812437001475,serosanguious,2.139139923434936,lived,no,2208,0,1,yes
yes,adult,938003,36.951901300660765,48.03148129312879,6.249217364010212,normal,absent,bright_pink,less_3_sec,constant_pain,hypermobile,none,slight,none,4.913222552836844,normal,other,37.42384472291988,6.0304657017500265,clear,5.172442700112883,lived,yes,4300,0,2,yes
no,adult,387654,36.19898070229824,64.57153055035795,9.979872652695402,cold,reduced,normal_pink,more_3_sec,depressed,hypermobile,moderate,slight,less_1_liter,8.818922794096348,normal,distend_large,44.10040069737623,6.843216681762863,clear,4.383534550676039,died,yes,4300,3,0,no
yes,adult,381570,39.95574316320679,96.04329616862891,14.196147874104245,normal,increased,bright_red,more_3_sec,constant_pain,hypermobile,moderate,none,none,8.05242128046253,normal,other,37.69901767857094,6.697917858018011,serosanguious,4.055684771605763,lived,no,0,0,1,yes
yes,adult,137265,36.66854697934757,67.6620042414644,11.108645395785366,cold,reduced,bright_pink,less_3_sec,mild_pain,normal,severe,slight,none,6.88410531273728,normal,normal,34.92188272190888,6.985096809335193,serosanguious,2.1373735374128735,lived,no,2208,2,2,yes
no,young,349321,38.63632372299555,69.60609306026598,12.107173927749098,cool,absent,pale_cyanotic,less_3_sec,alert,hypomobile,slight,important,none,4.913617781196129,absent,normal,41.54818896587635,6.22005086375049,cloudy,4.6129250752273805,euthanized,yes,4300,3,0,no
yes,adult,166150,37.83126687724867,48.61232599703746,11.459184995073034,warm,absent,bright_red,more_3_sec,alert,hypermobile,none,slight,>1_liter,3.679454653387875,decreased,distend_large,38.356437056742394,7.261387341884777,serosanguious,2.686493407538259,lived,no,4300,0,2,no
no,adult,711600,38.051305640806376,71.36960450549196,8.999642554322719,normal,normal,pale_pink,less_3_sec,intermittent_pain,hypermobile,slight,important,less_1_liter,8.209214912844983,decreased,distend_large,33.31612472060585,6.219332232690791,serosanguious,5.7247867208187815,lived,yes,11300,0,0,no
yes,adult,189613,37.798449494164096,62.10618641758174,12.250021313733946,cool,reduced,bright_pink,less_3_sec,alert,absent,moderate,none,less_1_liter,5.891272791928692,normal,other,33.07975980554914,7.3370154073200355,serosanguious,4.742907804302728,died,no,0,0,2,no
no,adult,437054,37.41515811805287,28.230709191648838,11.235091688738398,warm,reduced,normal_pink,more_3_sec,constant_pain,absent,moderate,important,>1_liter,3.79800030541886,normal,other,44.149239804437094,6.674281758893555,clear,4.828135552135346,euthanized,no,4300,3,1,no
yes,adult,938807,38.263972282923454,75.85869706986215,13.31833714545941,warm,increased,pale_cyanotic,more_3_sec,mild_pain,hypermobile,slight,slight,>1_liter,3.5613969203200497,normal,normal,49.49343791032513,6.8247078890590425,cloudy,2.930321090445122,lived,no,4300,0,1,yes
yes,young,221826,37.3614127937427,79.40786779693703,7.621353176514731,warm,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,important,>1_liter,3.323207236010872,decreased,distend_large,34.661881417241126,7.344872003945984,clear,5.5230153522268735,died,yes,0,0,1,yes
no,adult,659723,38.96630274723679,76.06730097642325,3.78566508136384,cool,normal,pale_cyanotic,more_3_sec,alert,absent,severe,important,less_1_liter,8.217289569644759,decreased,other,45.4629720166298,6.449869572715601,serosanguious,4.150930283132804,died,no,2208,0,1,no
no,young,982875,38.36844100625615,60.66655851331604,12.135753044619232,cool,absent,bright_red,less_3_sec,depressed,absent,slight,slight,none,3.8318974824024936,normal,other,31.752134049009303,6.272740494361727,cloudy,5.428336711256922,died,yes,0,1,1,no
no,young,550348,38.39959411328149,40.876462337007055,10.049308561818174,cold,absent,pale_pink,less_3_sec,alert,normal,slight,important,>1_liter,6.21313810820158,absent,normal,37.631518381043634,6.66862743122918,serosanguious,3.083789899329104,died,no,11300,2,2,yes
no,adult,310017,37.292876939943405,20.0,8.111861699036291,warm,normal,pale_cyanotic,more_3_sec,mild_pain,hypermobile,severe,slight,>1_liter,5.612370887784452,decreased,normal,40.13376305616514,6.36655084279156,clear,5.021846852392985,died,no,11300,0,2,no
no,adult,234055,37.563645262911,63.141072108029014,8.279541563077526,warm,reduced,dark_cyanotic,less_3_sec,constant_pain,hypermobile,slight,none,>1_liter,6.636887193826271,decreased,normal,35.37493890579537,6.791765867310476,clear,4.29826761464019,died,yes,11300,2,2,yes
no,adult,590457,36.61208719135793,81.63884119481699,16.664058977706347,warm,reduced,normal_pink,less_3_sec,mild_pain,absent,moderate,important,none,9.017239202969554,normal,normal,40.59156833028501,6.412886796666474,serosanguious,2.1936772232423265,lived,yes,4300,1,2,yes
no,adult,776022,37.44698394327443,79.91064938166161,7.073416042397186,cold,normal,bright_pink,less_3_sec,depressed,normal,slight,none,none,8.941979120653844,absent,other,47.65228855327709,7.296734303393185,cloudy,3.6213692950931478,euthanized,no,2208,1,1,no
no,young,909942,36.7634240836437,76.32145686787696,6.440090079521001,warm,increased,pale_pink,more_3_sec,alert,absent,none,important,>1_liter,5.608608574598877,normal,distend_large,48.88875924709987,6.910986888386589,clear,2.7356418604938595,euthanized,yes,11300,0,0,yes
yes,adult,833547,39.113068515588715,58.51578042901218,9.255852700480055,cool,absent,dark_cyanotic,more_3_sec,depressed,normal,moderate,important,none,2.1229300058777865,normal,distend_large,32.01113908746099,6.000361004614353,serosanguious,3.4366943515150243,died,no,0,2,1,yes
yes,adult,796358,37.850535815594,81.74928348062994,12.541472633918882,warm,normal,bright_red,more_3_sec,constant_pain,hypermobile,severe,none,>1_liter,5.4115504457144255,absent,normal,35.43691867968405,7.208210602019737,serosanguious,3.53340653706089,died,yes,11300,3,2,yes
no,adult,550062,37.970497235040426,78.48323647711806,15.835205959587682,normal,normal,bright_red,less_3_sec,mild_pain,absent,moderate,important,none,6.849548299393123,absent,normal,49.5826783503545,6.495318505089219,serosanguious,3.899713412113539,euthanized,yes,4300,0,1,yes
yes,adult,194071,37.57485347264998,51.54732878556884,10.972094890168712,cool,reduced,bright_red,less_3_sec,depressed,hypermobile,severe,important,less_1_liter,6.462118072784494,absent,other,35.40836820804488,6.480311976232436,cloudy,4.401161770913852,lived,no,11300,3,1,no
yes,adult,893072,37.9975789220514,73.53196033231694,5.18877376806171,cold,absent,pale_pink,more_3_sec,depressed,normal,none,none,less_1_liter,7.210688846401644,decreased,normal,43.85414702286882,6.574594218201701,serosanguious,4.283910609992796,died,no,2208,1,1,no
yes,adult,406691,40.26487763585768,49.280817091814164,14.912592812153397,warm,reduced,pale_cyanotic,more_3_sec,constant_pain,hypomobile,none,important,none,3.232605859784668,normal,distend_large,35.06907387740729,6.945393792126121,serosanguious,2.1559656188199803,euthanized,yes,11300,1,0,no
yes,young,941052,37.499859715607506,70.80048463233844,8.941593902768709,normal,normal,pale_pink,more_3_sec,alert,normal,moderate,slight,less_1_liter,7.1722807902458605,decreased,normal,37.12731186642077,6.663091065591335,clear,5.002756873954887,euthanized,yes,2208,2,1,no
no,young,246389,37.149586965290005,34.01766711397866,6.486871704315091,cold,increased,bright_red,less_3_sec,depressed,hypomobile,slight,important,less_1_liter,3.461212949950178,absent,distend_large,33.82557975793795,6.942953319854554,serosanguious,5.796735537891073,died,no,2208,3,1,no
yes,adult,739896,38.32969313290544,35.55576382654157,5.761822628701938,cold,absent,dark_cyanotic,more_3_sec,constant_pain,hypermobile,moderate,important,less_1_liter,8.004191845573992,decreased,normal,47.126003873942906,6.220171082453689,cloudy,3.3947251559398666,euthanized,yes,0,3,0,yes
no,adult,369708,35.27428136639751,81.16414093887815,11.508986158006369,cool,normal,bright_pink,less_3_sec,alert,hypermobile,moderate,important,>1_liter,4.71270090610144,absent,normal,47.65297527639008,7.455246696786128,serosanguious,2.718987605353034,lived,yes,2208,0,1,yes
yes,adult,782705,37.86395678691093,78.7512024440953,9.716488158559242,cold,normal,bright_pink,more_3_sec,alert,absent,none,none,none,7.6791634670516284,absent,distend_large,35.938250158308634,7.094409430625796,cloudy,4.160006252461541,euthanized,yes,4300,2,1,yes
yes,young,738112,37.428287096707095,72.67223081151663,10.035226130837552,cold,increased,pale_pink,less_3_sec,mild_pain,hypomobile,severe,slight,none,2.3829247912488567,normal,other,46.471796483412604,6.375310660767575,serosanguious,4.819651712976576,died,yes,4300,2,1,yes
yes,adult,354444,36.807686733963905,61.75937642105661,12.859509357215792,cold,normal,bright_red,less_3_sec,constant_pain,normal,moderate,slight,none,5.262880204727307,normal,other,37.164833000739684,7.086254862112163,serosanguious,4.715619578110653,died,no,2208,3,1,no
no,young,703561,38.307757670311496,20.0,6.593536225471068,cold,normal,normal_pink,more_3_sec,alert,hypermobile,slight,important,less_1_liter,7.640276178106662,normal,normal,31.980388457903167,6.862538184392459,serosanguious,4.448438310003433,euthanized,no,2208,1,1,no
yes,adult,961291,37.85398841844579,58.502481235870206,13.098463884820944,warm,absent,pale_pink,less_3_sec,mild_pain,hypomobile,none,none,>1_liter,3.814964130651953,decreased,normal,45.16152794584147,6.163783494605272,cloudy,2.5849290085128342,euthanized,yes,11300,2,2,yes
no,adult,311837,35.99759109250578,69.08366334379676,7.442528031618929,warm,absent,bright_red,more_3_sec,intermittent_pain,normal,moderate,none,none,8.36229635837778,normal,distend_large,41.92892497797689,6.267294640182189,clear,5.347299577611993,died,yes,11300,1,1,no
yes,adult,210017,37.15347047880756,49.30533504880817,15.492022121737069,warm,absent,pale_cyanotic,less_3_sec,constant_pain,hypomobile,moderate,slight,less_1_liter,7.046237864839456,absent,distend_large,35.48764887341501,6.0619622128821975,cloudy,3.7024862496752613,lived,no,0,0,0,yes
no,adult,223618,34.911728794807274,45.75011614383525,10.79621704797942,warm,reduced,bright_pink,less_3_sec,intermittent_pain,normal,slight,none,>1_liter,6.700494177198387,normal,normal,35.059994810236944,7.2138571075120215,clear,2.88587433212748,euthanized,yes,11300,2,1,yes
yes,young,559297,38.0932693141335,88.88840776307383,6.2392844106708685,normal,increased,bright_pink,more_3_sec,alert,normal,moderate,important,>1_liter,4.828390833634697,decreased,distend_large,49.512467409646426,6.8275571288928525,cloudy,2.345064564252386,lived,yes,4300,2,2,no
no,young,225341,38.083299418440156,58.79422017216776,2.9237457500385613,warm,absent,bright_pink,less_3_sec,constant_pain,normal,moderate,important,none,5.859611763048941,normal,other,47.250020817861824,6.475122972975318,serosanguious,3.666876459892196,lived,yes,11300,0,0,no
no,adult,915862,37.006718106166325,69.09590339284762,11.426774166837035,cold,reduced,normal_pink,more_3_sec,mild_pain,normal,moderate,none,none,6.778794407822825,normal,other,46.1959665874753,6.1895173530423,serosanguious,4.47189218738923,died,yes,0,2,0,no
yes,adult,830892,38.340112711683126,75.4826292323873,7.8774591720294485,warm,reduced,bright_red,more_3_sec,alert,hypomobile,moderate,important,less_1_liter,5.779696911319124,normal,distend_large,32.560354172833314,6.726068813940569,clear,4.6615108366060305,died,yes,0,3,1,yes
no,young,652076,36.51750137887848,39.971258469898444,8.533302916434494,warm,increased,bright_red,more_3_sec,constant_pain,hypomobile,slight,slight,none,7.586506591524481,decreased,distend_large,45.10374548496521,6.787892020076908,clear,5.850947645589027,died,no,2208,3,2,no
yes,young,850865,36.83348297406501,63.86414845428388,11.298588027522321,cool,increased,bright_red,less_3_sec,constant_pain,absent,moderate,important,less_1_liter,5.4695754648556765,absent,distend_large,34.29080442406573,7.052922751470758,cloudy,2.6125923346550297,lived,yes,0,0,1,yes
yes,young,541759,38.21719046438256,86.39288988954598,12.031241478751967,cold,normal,bright_red,less_3_sec,intermittent_pain,hypomobile,moderate,none,>1_liter,3.618185453936243,absent,other,49.54777886416481,7.454905815670637,cloudy,5.943094660790209,died,yes,2208,1,2,no
yes,young,955778,37.11133324503705,96.38446366599442,12.671131022007874,warm,reduced,normal_pink,less_3_sec,alert,hypomobile,moderate,slight,>1_liter,3.711470262408378,absent,normal,31.041783759245153,6.652418295611062,clear,4.618703522288912,died,yes,4300,1,2,yes
yes,adult,982554,37.73734304379755,60.79872794429381,5.475476074851191,warm,absent,dark_cyanotic,more_3_sec,mild_pain,absent,none,important,>1_liter,2.0464301507435287,normal,distend_large,37.04276967120487,6.609051309891554,clear,3.816916230828806,lived,no,4300,2,1,no
yes,young,664262,37.23635097257365,55.24112905305851,13.277684248873767,warm,increased,pale_pink,more_3_sec,mild_pain,hypomobile,slight,slight,>1_liter,4.40766172446938,normal,distend_large,38.5729568155743,6.554895006885184,cloudy,5.552776903392637,lived,yes,11300,1,2,yes
yes,adult,993741,37.38906884370081,65.38048136275067,7.262863991495552,normal,reduced,pale_pink,less_3_sec,alert,normal,none,none,none,7.991341123828157,decreased,distend_large,46.484058231245086,7.240385863450292,clear,4.777918967813571,lived,yes,0,1,1,yes
yes,young,640659,37.432775784045006,64.87274094055041,2.2312501957553197,warm,absent,bright_red,less_3_sec,alert,hypermobile,none,important,none,8.353301670700876,absent,normal,45.32445636008092,6.234475832098857,clear,3.394868859428061,lived,no,4300,0,2,no
yes,young,931516,37.09324324278182,87.73516132262307,5.464678959419863,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypermobile,slight,important,less_1_liter,3.619740336766,normal,distend_large,37.49984289893179,6.515719355452634,clear,5.5363427863058465,euthanized,no,2208,1,0,yes
yes,young,522845,38.10244971436012,40.07216621665866,9.654075276397695,cold,increased,bright_pink,less_3_sec,intermittent_pain,absent,none,slight,less_1_liter,9.672351974971262,normal,distend_large,41.311205869160815,7.087456207313086,clear,4.666461827278139,died,no,0,1,1,no
yes,young,806544,37.172071513246046,54.402538276679564,6.063557261756582,cold,normal,normal_pink,more_3_sec,alert,hypomobile,none,important,less_1_liter,6.019222347841014,normal,other,46.71190327215461,6.0235424030136695,serosanguious,4.795349423176878,euthanized,no,0,1,2,no
yes,young,424060,37.8156867137956,37.65717346246979,8.735866592471869,warm,reduced,pale_cyanotic,less_3_sec,alert,hypomobile,none,important,less_1_liter,9.335829992148021,decreased,distend_large,30.363991843021054,6.434071085408542,serosanguious,5.585559552344105,lived,yes,2208,3,0,no
no,adult,698260,37.07126831862559,39.75810228404846,10.014757462587536,warm,absent,pale_cyanotic,more_3_sec,depressed,absent,slight,important,less_1_liter,7.654122254893049,absent,other,46.043561990489444,6.962170744132065,clear,3.793664831876221,lived,yes,0,3,0,yes
no,adult,293259,36.26570137361554,67.53148030278248,8.455843790672143,warm,increased,bright_red,less_3_sec,depressed,hypermobile,moderate,important,>1_liter,7.779467384179305,decreased,normal,48.93792050684084,6.278928147001207,cloudy,4.627616423839026,lived,yes,0,0,0,no
yes,young,375128,38.712435249259165,76.19715683274053,7.516936986429849,cold,normal,normal_pink,less_3_sec,constant_pain,normal,severe,none,>1_liter,2.680348970448569,absent,distend_large,30.641290429683423,6.454065853686407,serosanguious,4.978756086551122,lived,no,4300,2,0,yes
yes,young,919471,38.299526985095405,47.0121661251251,5.247911811035321,cold,absent,pale_pink,more_3_sec,mild_pain,hypomobile,severe,important,>1_liter,3.7599290151754454,absent,distend_large,30.91161974156365,6.729067611724844,cloudy,3.815760232523126,lived,yes,2208,0,1,no
yes,adult,709719,40.08868206879767,75.44189577950578,9.065831424645996,normal,absent,bright_pink,more_3_sec,intermittent_pain,absent,slight,slight,less_1_liter,2.070518666355781,normal,other,36.8902801113204,6.633035348954531,cloudy,2.3338084629511737,died,no,4300,2,2,no
